Contributors,Currency,Age,Relationship,Children,Additional Children,Amount to retire,FI rate,Retire age,Wage
2,United States Dollars (USD),26-30,Married,,2.0,1781000.0,10.0,51-55,157152.0
1,United States Dollars (USD),26-30,"In a relationship, but not married",,,2000000.0,10.0,46-50,
1,United States Dollars (USD),41-45,"In a relationship, but not married",,,2500000.0,50.0,51-55,180000.0
1,United States Dollars (USD),26-30,"In a relationship, but not married",,,1000000.0,11.0,51-55,50437.0
2,United States Dollars (USD),41-45,Married,2.0,0.0,3000000.0,90.0,46-50,315000.0
2,United States Dollars (USD),31-35,Married,,,2000000.0,40.0,46-50,350000.0
2,United States Dollars (USD),26-30,"In a relationship, but not married",,,,,,
1,United States Dollars (USD),36-40,"Single, never married",,,3000000.0,50.0,51-55,260000.0
2,Canadian Dollars (CAD),36-40,Married,,,,,,
1,United States Dollars (USD),31-35,"In a relationship, but not married",,,3000000.0,16.64,46-50,
2,British Pound Sterling (GBP),36-40,Married,1.0,1.0,1300000.0,20.0,51-55,
1,United States Dollars (USD),26-30,"In a relationship, but not married",,2.0,1500000.0,16.0,41-45,114000.0
2,United States Dollars (USD),56-60,Married,4.0,0.0,,,,
1,United States Dollars (USD),26-30,"Single, never married",,,2500000.0,10.0,56-60,134667.0
2,United States Dollars (USD),31-35,Married,,,1250000.0,40.0,36-40,
2,United States Dollars (USD),36-40,Married,1.0,1.0,2000000.0,40.0,51-55,205000.0
1,United States Dollars (USD),26-30,"In a relationship, but not married",,3.0,500000.0,6.0,51-55,100000.0
2,United States Dollars (USD),56-60,Married,4.0,0.0,,,,
2,United States Dollars (USD),31-35,Married,,2.0,,,,
2,United States Dollars (USD),31-35,Married,1.0,1.0,,,36-40,315000.0
2,United States Dollars (USD),31-35,Married,1.0,2.0,2500000.0,70.0,36-40,420001.0
2,United States Dollars (USD),41-45,Married,1.0,1.0,,,,
1,United States Dollars (USD),36-40,Married,1.0,1.0,1000000.0,10.0,56-60,110000.0
2,United States Dollars (USD),31-35,Married,,1.0,,,,
1,United States Dollars (USD),51-55,"Single, never married",,,1500000.0,90.0,56-60,163000.0
2,United States Dollars (USD),51-55,Married,,,,,51-55,250000.0
1,United States Dollars (USD),31-35,"Single, never married",,,750000.0,25.0,41-45,143794.0
2,United States Dollars (USD),31-35,Married,,2.0,3500000.0,37.0,41-45,340000.0
1,United States Dollars (USD),31-35,"In a relationship, but not married",,1.0,1500000.0,20.0,51-55,120000.0
1,United States Dollars (USD),36-40,"Single, never married",,,,,41-45,
1,United States Dollars (USD),31-35,"In a relationship, but not married",,,1200000.0,34.0,41-45,204000.0
1,United States Dollars (USD),51-55,"Single, never married",,,,,,
1,United States Dollars (USD),31-35,"In a relationship, but not married",,,4000000.0,25.0,46-50,
1,United States Dollars (USD),51-55,"Single, never married",,,,,,317500.0
2,United States Dollars (USD),26-30,Married,1.0,1.0,3000000.0,15.0,51-55,210000.0
2,United States Dollars (USD),36-40,Married,,,5000000.0,20.0,56-60,350000.0
2,United States Dollars (USD),31-35,Married,1.0,1.0,1000000.0,15.0,51-55,119000.0
1,United States Dollars (USD),31-35,Married,,,2250000.0,29.0,41-45,450000.0
2,United States Dollars (USD),31-35,Married,1.0,1.0,3000000.0,10.0,41-45,250000.0
2,United States Dollars (USD),26-30,Married,,2.0,,,36-40,
2,United States Dollars (USD),31-35,Married,3.0,,,,,
2,United States Dollars (USD),26-30,"In a relationship, but not married",1.0,0.0,1200000.0,15.0,51-55,
2,United States Dollars (USD),31-35,"In a relationship, but not married",,,2200000.0,27.0,41-45,
2,United States Dollars (USD),36-40,Married,,,3300000.0,45.0,46-50,188375.0
2,United States Dollars (USD),46-50,Married,2.0,2.0,,,,
2,United States Dollars (USD),36-40,Married,,,1700000.0,55.0,46-50,127000.0
2,United States Dollars (USD),36-40,"Divorced - In a relationship, but not married",6.0,0.0,5000000.0,43.0,51-55,450000.0
1,United States Dollars (USD),31-35,Married,,,2500000.0,34.0,36-40,232000.0
2,United States Dollars (USD),26-30,Married,,,2000000.0,15.0,46-50,
2,United States Dollars (USD),46-50,Married,2.0,2.0,,,,
2,United States Dollars (USD),26-30,Married,,,2000000.0,30.0,41-45,204000.0
2,United States Dollars (USD),31-35,Married,2.0,0.0,2250000.0,43.0,51-55,230000.0
2,United States Dollars (USD),26-30,Married,,,5000000.0,20.0,41-45,
1,United States Dollars (USD),36-40,Married,2.0,2.0,,,,
1,United States Dollars (USD),31-35,"Single, never married",,2.0,,,,
2,United States Dollars (USD),51-55,Divorced - Remarried,2.0,0.0,,,,
2,United States Dollars (USD),31-35,Married,2.0,0.0,1800000.0,31.0,41-45,165000.0
1,United States Dollars (USD),41-45,Married,1.0,0.0,,,46-50,310000.0
2,United States Dollars (USD),31-35,Married,,2.0,5000000.0,40.0,41-45,370000.0
2,United States Dollars (USD),46-50,Married,,,,,,
1,United States Dollars (USD),31-35,"Single, never married",,,2000000.0,45.0,41-45,
1,United States Dollars (USD),31-35,"In a relationship, but not married",,,,,,
2,United States Dollars (USD),36-40,Married,2.0,0.0,3000000.0,25.0,61-65,320000.0
1,United States Dollars (USD),26-30,"Single, never married",,2.0,2500000.0,1.0,51-55,108800.0
1,United States Dollars (USD),36-40,Married,3.0,0.0,1000000.0,25.0,41-45,230000.0
1,United States Dollars (USD),21-25,"In a relationship, but not married",,,1500000.0,3.0,46-50,86000.0
2,United States Dollars (USD),26-30,Married,,,2500000.0,10.0,51-55,12000.0
1,United States Dollars (USD),41-45,"In a relationship, but not married",,,,,Undecided,740000.0
1,United States Dollars (USD),31-35,"Single, never married",,2.0,1500000.0,38.0,41-45,138000.0
1,United States Dollars (USD),26-30,"Single, never married",,2.0,1800000.0,10.0,41-45,130000.0
1,United States Dollars (USD),41-45,Married,,,5000000.0,70.0,46-50,862000.0
2,United States Dollars (USD),36-40,Married,2.0,,,,,
2,United States Dollars (USD),46-50,Married,,,600000.0,50.0,56-60,55000.0
2,United States Dollars (USD),36-40,Married,1.0,2.0,4000000.0,25.0,41-45,750000.0
2,United States Dollars (USD),41-45,Married,2.0,0.0,3000000.0,71.0,51-55,298000.0
2,United States Dollars (USD),31-35,Married,,,2500000.0,25.0,46-50,
2,United States Dollars (USD),31-35,Married,,2.0,2500000.0,13.0,51-55,168000.0
2,United States Dollars (USD),51-55,Divorced - Remarried,1.0,0.0,,,,
1,United States Dollars (USD),26-30,"In a relationship, but not married",,2.0,1500000.0,9.0,51-55,
1,United States Dollars (USD),36-40,"Single, never married",,2.0,4000000.0,50.0,56-60,275000.0
2,United States Dollars (USD),31-35,Married,,,2000000.0,25.0,51-55,208000.0
1,United States Dollars (USD),31-35,"In a relationship, but not married",,,,,31-35,220000.0
1,United States Dollars (USD),31-35,"Single, never married",,2.0,1000000.0,20.0,51-55,150911.0
2,United States Dollars (USD),41-45,Married,2.0,0.0,3000000.0,67.0,46-50,375000.0
1,United States Dollars (USD),26-30,"In a relationship, but not married",,2.0,,,,
2,United States Dollars (USD),36-40,Married,1.0,1.0,6000000.0,70.0,46-50,220000.0
2,United States Dollars (USD),41-45,Married,2.0,0.0,,,,
2,United States Dollars (USD),41-45,Married,2.0,0.0,2500000.0,50.0,56-60,275000.0
2,Canadian Dollars (CAD),31-35,Married,,,1350000.0,47.0,41-45,177000.0
2,United States Dollars (USD),36-40,Married,2.0,0.0,5000000.0,40.0,56-60,280000.0
1,United States Dollars (USD),26-30,"In a relationship, but not married",,,,,,
1,United States Dollars (USD),26-30,"In a relationship, but not married",,,2000000.0,0.2,36-40,132000.0
1,United States Dollars (USD),26-30,"In a relationship, but not married",,,1000000.0,30.0,51-55,
1,United States Dollars (USD),31-35,Married,1.0,1.0,228500.0,86.0,36-40,
2,United States Dollars (USD),41-45,Married,,,,,46-50,
2,United States Dollars (USD),31-35,Married,,,2150000.0,63.0,36-40,229000.0
2,United States Dollars (USD),26-30,"In a relationship, but not married",,2.0,,,,
2,United States Dollars (USD),31-35,Married,,,,,,
2,United States Dollars (USD),31-35,Married,,,3000000.0,12.5,46-50,
2,United States Dollars (USD),46-50,Married,4.0,4.0,1500000.0,33.0,56-60,150000.0
1,United States Dollars (USD),26-30,"Single, never married",,,500000.0,25.0,31-35,270000.0
2,United States Dollars (USD),31-35,Married,,,,,31-35,334000.0
1,United States Dollars (USD),31-35,Married,1.0,1.0,4000000.0,40.0,36-40,300000.0
2,United States Dollars (USD),31-35,Married,,2.0,,,,
2,United States Dollars (USD),41-45,Married,3.0,0.0,,,41-45,250000.0
1,United States Dollars (USD),26-30,"Single, never married",,2.0,,,51-55,142000.0
1,United States Dollars (USD),26-30,"Single, never married",,2.0,1250000.0,14.0,41-45,101167.0
2,United States Dollars (USD),31-35,Married,1.0,1.0,3000000.0,3.0,46-50,230000.0
2,United States Dollars (USD),26-30,Married,,1.0,2500000.0,30.0,41-45,
2,United States Dollars (USD),31-35,Married,1.0,1.0,,,,
2,United States Dollars (USD),31-35,Married,1.0,1.0,2500000.0,48.0,41-45,
1,United States Dollars (USD),21-25,"In a relationship, but not married",,,1500000.0,8.0,36-40,
1,United States Dollars (USD),26-30,"In a relationship, but not married",,2.0,1000000.0,33.0,36-40,95000.0
2,United States Dollars (USD),41-45,Divorced - Remarried,1.0,0.0,1600000.0,87.0,41-45,
1,United States Dollars (USD),21-25,"Single, never married",,,2500000.0,0.68,51-55,91725.0
1,United States Dollars (USD),31-35,"In a relationship, but not married",,2.0,2500000.0,33.0,41-45,
1,United States Dollars (USD),31-35,"In a relationship, but not married",,2.0,2500000.0,33.0,41-45,214850.0
1,United States Dollars (USD),26-30,"Single, never married",,,1500000.0,15.0,36-40,153000.0
2,United States Dollars (USD),41-45,Married,,,,,,
2,United States Dollars (USD),41-45,Married,,,3000000.0,0.2,51-55,630000.0
1,United States Dollars (USD),36-40,"In a relationship, but not married",,,2200000.0,40.0,46-50,153000.0
1,United States Dollars (USD),26-30,"In a relationship, but not married",,2.0,,,,
1,United States Dollars (USD),26-30,"In a relationship, but not married",,2.0,2000000.0,42.0,36-40,207000.0
2,United States Dollars (USD),31-35,Married,,,1500000.0,20.0,46-50,
2,United States Dollars (USD),31-35,Married,,3.0,1000000.0,55.0,46-50,116000.0
2,United States Dollars (USD),36-40,Married,2.0,0.0,,,,
2,United States Dollars (USD),36-40,Married,2.0,0.0,5000000.0,40.0,51-55,191700.0
2,United States Dollars (USD),36-40,Married,1.0,0.0,1400000.0,43.0,46-50,
2,United States Dollars (USD),26-30,Married,,,3000000.0,24.0,51-55,190000.0
1,United States Dollars (USD),26-30,"In a relationship, but not married",,,685000.0,55.0,36-40,103000.0
1,United States Dollars (USD),26-30,"Single, never married",,,1500000.0,25.0,51-55,133000.0
2,United States Dollars (USD),31-35,Married,2.0,1.0,1500000.0,35.0,51-55,137150.0
2,United States Dollars (USD),36-40,Married,3.0,0.0,1400000.0,49.0,41-45,260000.0
1,United States Dollars (USD),46-50,Widowed,2.0,0.0,,,,
1,United States Dollars (USD),46-50,Widowed,2.0,0.0,1500000.0,67.0,51-55,125000.0
1,United States Dollars (USD),21-25,"Single, never married",,,1250000.0,9.97,46-50,
1,United States Dollars (USD),31-35,Married,,,5000000.0,50.0,31-35,325000.0
1,United States Dollars (USD),31-35,"Single, never married",,2.0,2000000.0,33.0,51-55,120000.0
2,United States Dollars (USD),36-40,Married,,,,,,
2,United States Dollars (USD),36-40,Married,,,2250000.0,30.0,51-55,
2,United States Dollars (USD),31-35,Married,2.0,0.0,7500000.0,27.0,46-50,665161.0
2,United States Dollars (USD),31-35,Married,3.0,0.0,,,,
1,United States Dollars (USD),26-30,"Single, never married",,,,,Undecided,89393.0
1,Canadian Dollars (CAD),36-40,"Single, never married",,,,,36-40,
2,United States Dollars (USD),31-35,Married,,,5000000.0,50.0,41-45,
1,United States Dollars (USD),51-55,"Single, never married",,,,,,
1,United States Dollars (USD),31-35,"Single, never married",,,3000000.0,28.0,36-40,
1,Euros (EUR),31-35,"In a relationship, but not married",1.0,0.0,1375000.0,21.0,41-45,110000.00000000001
1,United States Dollars (USD),36-40,Married,3.0,0.0,,,36-40,155000.0
2,United States Dollars (USD),31-35,"In a relationship, but not married",,2.0,2000000.0,25.0,41-45,210000.0
2,United States Dollars (USD),36-40,Married,1.0,0.0,2000000.0,27.0,46-50,124000.0
1,United States Dollars (USD),41-45,Married,2.0,0.0,,,,
2,United States Dollars (USD),26-30,Married,,,2500000.0,20.0,46-50,188000.0
1,United States Dollars (USD),26-30,"In a relationship, but not married",,2.0,1500000.0,10.0,41-45,95000.0
2,United States Dollars (USD),36-40,Divorced - Remarried,3.0,0.0,2000000.0,40.9,46-50,340000.0
1,United States Dollars (USD),26-30,"Single, never married",,,2500000.0,10.0,46-50,155000.0
2,United States Dollars (USD),31-35,Married,,2.0,2500000.0,15.0,61-65,150000.0
2,United States Dollars (USD),31-35,Married,2.0,0.0,3500000.0,31.0,46-50,430000.0
1,United States Dollars (USD),21-25,"Single, never married",,2.0,,,56-60,100000.0
1,United States Dollars (USD),31-35,"In a relationship, but not married",,,,,,
1,United States Dollars (USD),21-25,"Single, never married",,,1000000.0,4.0,51-55,69000.0
1,British Pound Sterling (GBP),26-30,"Single, never married",,,325000.0,25.0,51-55,48100.0
2,United States Dollars (USD),41-45,Married,2.0,0.0,,,,
1,United States Dollars (USD),31-35,"Single, never married",,2.0,2000000.0,40.0,51-55,115000.0
2,United States Dollars (USD),56-60,Married,,,,,,
2,United States Dollars (USD),31-35,Married,2.0,0.0,1500000.0,3.0,51-55,141500.0
2,United States Dollars (USD),56-60,Married,,,,,,
2,British Pound Sterling (GBP),31-35,"In a relationship, but not married",,2.0,1040000.0,25.0,41-45,156000.0
2,United States Dollars (USD),36-40,Married,,,,,,
2,United States Dollars (USD),46-50,Married,1.0,0.0,,,,
2,United States Dollars (USD),31-35,Married,2.0,0.0,3362000.0,14.6,41-45,236000.0
2,United States Dollars (USD),56-60,Married,,,,,,
2,United States Dollars (USD),26-30,Married,2.0,0.0,1000000.0,9.0,51-55,95000.0
1,United States Dollars (USD),36-40,Widowed,1.0,0.0,2500000.0,62.0,46-50,148800.0
1,United States Dollars (USD),41-45,"In a relationship, but not married",,,2100000.0,93.0,41-45,260000.0
2,United States Dollars (USD),26-30,Married,1.0,2.0,1850000.0,13.0,41-45,98454.0
1,United States Dollars (USD),31-35,"Single, never married",,2.0,1000000.0,45.0,46-50,140000.0
2,United States Dollars (USD),31-35,Married,,,1350000.0,60.0,41-45,135000.0
1,United States Dollars (USD),31-35,"Single, never married",,,1800000.0,46.0,41-45,186466.0
2,United States Dollars (USD),41-45,Married,,,3500000.0,27.0,56-60,215000.0
2,United States Dollars (USD),46-50,Married,2.0,0.0,5000000.0,55.0,51-55,440000.0
2,United States Dollars (USD),31-35,Married,,2.0,2500000.0,20.0,56-60,220000.0
1,United States Dollars (USD),36-40,"Single, never married",,,2100000.0,20.0,51-55,105000.0
1,United States Dollars (USD),31-35,Married,1.0,2.0,,,,
1,United States Dollars (USD),31-35,Married,,,1000000.0,7.0,51-55,54818.0
2,United States Dollars (USD),36-40,Married,,,,,36-40,235000.0
2,United States Dollars (USD),31-35,Married,1.0,0.0,2000000.0,25.0,46-50,
2,United States Dollars (USD),26-30,Married,,2.0,,,,
1,United States Dollars (USD),36-40,Divorced,,,2500000.0,54.0,41-45,270000.0
2,United States Dollars (USD),36-40,Married,2.0,0.0,2900000.0,60.0,46-50,420000.0
2,United States Dollars (USD),26-30,"In a relationship, but not married",,2.0,2000000.0,25.0,41-45,120000.0
2,Canadian Dollars (CAD),36-40,Married,,,1312500.0,50.0,41-45,168750.0
2,United States Dollars (USD),26-30,Married,,1.0,,20.0,51-55,240000.0
2,United States Dollars (USD),21-25,Married,,5.0,300000.0,6.9,61-65,140000.0
1,United States Dollars (USD),31-35,Married,2.0,1.0,3000000.0,21.0,51-55,243330.0
2,United States Dollars (USD),31-35,Married,,2.0,3000000.0,92.0,46-50,
2,United States Dollars (USD),26-30,Married,,,4000000.0,22.0,41-45,215000.0
2,United States Dollars (USD),36-40,Married,1.0,0.0,3200000.0,34.3,46-50,300000.0
2,United States Dollars (USD),36-40,Married,2.0,0.0,,,41-45,200000.0
1,United States Dollars (USD),26-30,"Single, never married",,,2000000.0,4.0,51-55,85000.0
1,United States Dollars (USD),26-30,"Single, never married",,,1700000.0,28.0,36-40,123770.0
2,United States Dollars (USD),26-30,Married,1.0,,2500000.0,50.0,31-35,6400.0
1,United States Dollars (USD),31-35,Married,1.0,2.0,,,,
1,United States Dollars (USD),36-40,Divorced,,1.0,1000000.0,72.0,41-45,166000.0
1,United States Dollars (USD),26-30,"Single, never married",,,1500000.0,33.0,41-45,140500.0
1,United States Dollars (USD),41-45,Married,2.0,0.0,500000.0,30.0,51-55,37000.0
2,United States Dollars (USD),36-40,Married,1.0,1.0,1500000.0,29.0,46-50,222000.0
1,United States Dollars (USD),31-35,"In a relationship, but not married",,2.0,,,36-40,225000.0
1,United States Dollars (USD),31-35,"In a relationship, but not married",,1.0,2500000.0,20.0,56-60,245000.0
1,United States Dollars (USD),26-30,"Single, never married",,,1500000.0,10.0,Undecided,160000.0
2,United States Dollars (USD),26-30,Married,1.0,2.0,2000000.0,60.0,31-35,500000.0
2,United States Dollars (USD),36-40,Married,2.0,0.0,3500000.0,23.0,56-60,360000.0
1,United States Dollars (USD),26-30,"Single, never married",,,,,,
1,United States Dollars (USD),36-40,Married,2.0,0.0,1500000.0,25.0,51-55,7500.0
1,United States Dollars (USD),36-40,"Single, never married",,,1300000.0,60.0,41-45,171953.0
1,United States Dollars (USD),36-40,"Single, never married",,,,,36-40,600000.0
2,United States Dollars (USD),31-35,Married,,,3000000.0,36.0,41-45,
1,United States Dollars (USD),41-45,Married,2.0,0.0,2900000.0,38.0,51-55,120000.0
2,United States Dollars (USD),36-40,Married,,,,,41-45,270000.0
1,United States Dollars (USD),31-35,"In a relationship, but not married",,,1800000.0,11.0,56-60,99729.0
1,United States Dollars (USD),56-60,"Divorced - In a relationship, but not married",3.0,0.0,,,56-60,270000.0
2,Canadian Dollars (CAD),36-40,Married,,,,,,
2,United States Dollars (USD),31-35,Married,,2.0,1800000.0,28.0,46-50,
1,United States Dollars (USD),26-30,"In a relationship, but not married",,,1300000.0,31.0,41-45,116700.0
1,United States Dollars (USD),26-30,Married,2.0,0.0,1000000.0,14.0,41-45,80000.0
1,United States Dollars (USD),36-40,"Single, never married",,,,,,
2,United States Dollars (USD),41-45,Married,,,2500000.0,80.0,46-50,
2,Euros (EUR),31-35,"In a relationship, but not married",,2.0,,,,
1,United States Dollars (USD),26-30,"In a relationship, but not married",,,,,Undecided,312000.0
1,United States Dollars (USD),31-35,"In a relationship, but not married",,,3000000.0,13.5,51-55,156000.0
2,United States Dollars (USD),31-35,Married,1.0,1.0,1000000.0,90.0,36-40,160000.0
2,United States Dollars (USD),31-35,Married,1.0,1.0,3000000.0,29.0,46-50,269000.0
2,United States Dollars (USD),46-50,Married,,,,,46-50,330000.0
2,Canadian Dollars (CAD),46-50,Married,,,1125000.0,80.0,46-50,
2,United States Dollars (USD),36-40,Married,1.0,0.0,2500000.0,,51-55,189000.0
1,United States Dollars (USD),26-30,"In a relationship, but not married",,2.0,900000.0,39.0,36-40,203784.0
1,United States Dollars (USD),26-30,"Single, never married",,,,,,
1,United States Dollars (USD),31-35,Married,2.0,0.0,4500000.0,50.0,41-45,255000.0
1,United States Dollars (USD),31-35,"Single, never married",,,3000000.0,12.0,46-50,
2,United States Dollars (USD),26-30,Married,,,1650000.0,,51-55,
1,United States Dollars (USD),21-25,"In a relationship, but not married",,3.0,,,,
1,United States Dollars (USD),36-40,Married,4.0,0.0,7500000.0,60.0,46-50,
2,United States Dollars (USD),31-35,Married,,3.0,2000000.0,10.0,46-50,230000.0
1,United States Dollars (USD),31-35,"In a relationship, but not married",,2.0,1750000.0,17.0,51-55,155000.0
2,United States Dollars (USD),36-40,Married,1.0,0.0,2500000.0,57.0,46-50,251849.0
1,United States Dollars (USD),36-40,"Single, never married",,2.0,1250000.0,78.0,41-45,157000.0
2,United States Dollars (USD),41-45,Married,1.0,0.0,1500000.0,10.0,51-55,163000.0
1,United States Dollars (USD),51-55,"Single, never married",,,,,51-55,232000.0
1,United States Dollars (USD),36-40,"Single, never married",,,4000000.0,30.0,56-60,350000.0
1,United States Dollars (USD),31-35,"Single, never married",,,,,46-50,110000.0
2,United States Dollars (USD),26-30,Married,1.0,2.0,3000000.0,45.0,41-45,
2,United States Dollars (USD),36-40,Married,,,,,,
2,United States Dollars (USD),46-50,Married,,,1750000.0,75.0,51-55,165000.0
2,United States Dollars (USD),26-30,"In a relationship, but not married",,,,,36-40,400000.0
1,United States Dollars (USD),31-35,"In a relationship, but not married",,,2500000.0,32.0,51-55,220000.0
1,United States Dollars (USD),26-30,"Single, never married",,,1500000.0,34.0,41-45,219061.0
2,United States Dollars (USD),31-35,"In a relationship, but not married",,,1500000.0,42.0,36-40,131560.0
2,United States Dollars (USD),36-40,Married,2.0,0.0,1500000.0,54.0,46-50,300000.0
2,United States Dollars (USD),26-30,Married,,2.0,2000000.0,13.0,51-55,169000.0
1,United States Dollars (USD),21-25,"Single, never married",,,500000.0,13.4,31-35,
2,United States Dollars (USD),31-35,Married,,2.0,3000000.0,30.0,51-55,400000.0
2,Canadian Dollars (CAD),36-40,Married,2.0,0.0,1875000.0,40.0,46-50,165000.0
2,United States Dollars (USD),36-40,Married,2.0,1.0,,,36-40,
2,United States Dollars (USD),26-30,Married,1.0,0.0,8000000.0,15.0,46-50,360000.0
2,United States Dollars (USD),31-35,Married,,,3500000.0,21.0,46-50,321600.0
1,United States Dollars (USD),31-35,"Single, never married",,,1500000.0,15.0,51-55,60000.0
2,United States Dollars (USD),31-35,Married,,,,,,
1,United States Dollars (USD),41-45,Married,1.0,0.0,,,,
1,United States Dollars (USD),41-45,Married,1.0,0.0,1600000.0,25.0,56-60,201500.0
2,United States Dollars (USD),31-35,"In a relationship, but not married",,,,,46-50,110000.0
2,Euros (EUR),41-45,Married,2.0,0.0,330000.0,60.0,56-60,49060.00000000001
2,United States Dollars (USD),31-35,Married,,,,,,
2,United States Dollars (USD),31-35,Married,,2.0,3500000.0,21.43,51-55,200725.0
1,United States Dollars (USD),26-30,"In a relationship, but not married",,,1600000.0,25.0,51-55,92925.0
1,United States Dollars (USD),21-25,Married,,3.0,1800000.0,30.0,31-35,
1,United States Dollars (USD),36-40,"Single, never married",,3.0,10000000.0,8.0,66-70,260000.0
1,United States Dollars (USD),26-30,Married,,2.0,2400000.0,6.0,46-50,127048.0
2,United States Dollars (USD),36-40,Married,3.0,0.0,4000000.0,55.0,46-50,450000.0
2,United States Dollars (USD),31-35,Married,,,3263000.0,38.0,31-35,505000.0
1,Canadian Dollars (CAD),26-30,"Single, never married",,,1125000.0,20.0,41-45,76942.5
2,United States Dollars (USD),41-45,Married,1.0,0.0,,,,
2,United States Dollars (USD),41-45,Married,1.0,0.0,2500000.0,50.0,51-55,
1,United States Dollars (USD),26-30,"In a relationship, but not married",,2.0,2000000.0,45.0,41-45,450000.0
1,United States Dollars (USD),26-30,"In a relationship, but not married",,,,,Undecided,1100000.0
2,United States Dollars (USD),36-40,Married,,,,,,
2,United States Dollars (USD),36-40,Married,,,,,41-45,268000.0
2,United States Dollars (USD),36-40,Married,,,,,,
2,United States Dollars (USD),31-35,"In a relationship, but not married",,1.0,6000000.0,25.0,41-45,897000.0
1,United States Dollars (USD),31-35,Married,2.0,1.0,4000000.0,10.0,51-55,284000.0
1,United States Dollars (USD),26-30,"In a relationship, but not married",,,1000000.0,20.0,46-50,200000.0
1,United States Dollars (USD),26-30,"Single, never married",,,900000.0,22.0,51-55,100000.0
2,United States Dollars (USD),36-40,"In a relationship, but not married",,,2000000.0,33.0,46-50,
1,United States Dollars (USD),36-40,Married,2.0,0.0,2090000.0,39.0,46-50,127423.0
2,United States Dollars (USD),26-30,"In a relationship, but not married",,2.0,2500000.0,24.5,51-55,
2,United States Dollars (USD),31-35,Married,1.0,1.0,3600000.0,15.0,51-55,
1,United States Dollars (USD),36-40,Married,2.0,0.0,3500000.0,28.0,56-60,394000.0
1,United States Dollars (USD),31-35,"Single, never married",,3.0,4000000.0,36.0,61-65,285000.0
1,United States Dollars (USD),21-25,"Single, never married",,2.0,1000000.0,17.0,46-50,125000.0
2,United States Dollars (USD),26-30,Married,2.0,2.0,2000000.0,13.0,51-55,190000.0
1,United States Dollars (USD),31-35,"Single, never married",,3.0,,,41-45,
2,Euros (EUR),26-30,"In a relationship, but not married",,3.0,1100000.0,65.0,36-40,27500.000000000004
2,United States Dollars (USD),36-40,Married,1.0,1.0,3000000.0,50.0,46-50,400000.0
1,United States Dollars (USD),26-30,"Single, never married",,,1250000.0,7.0,46-50,115615.0
1,United States Dollars (USD),26-30,"Single, never married",,,3000000.0,24.0,51-55,190000.0
2,United States Dollars (USD),41-45,Married,2.0,0.0,2000000.0,30.0,56-60,148154.0
2,United States Dollars (USD),,Married,,,,,,
2,United States Dollars (USD),31-35,Married,1.0,1.0,,,,
1,United States Dollars (USD),26-30,"In a relationship, but not married",,2.0,2300000.0,10.0,36-40,200000.0
2,United States Dollars (USD),31-35,Married,1.0,1.0,2500000.0,40.0,Undecided,200000.0
1,United States Dollars (USD),26-30,"In a relationship, but not married",,,3500000.0,14.0,41-45,199500.0
1,United States Dollars (USD),41-45,Married,1.0,0.0,,,,365000.0
2,United States Dollars (USD),51-55,Married,1.0,0.0,,,,
2,United States Dollars (USD),36-40,Married,1.0,0.0,,,41-45,
1,United States Dollars (USD),31-35,"In a relationship, but not married",,,1200000.0,12.5,56-60,69000.0
2,United States Dollars (USD),31-35,Married,,,3700000.0,54.0,41-45,
1,United States Dollars (USD),31-35,"Single, never married",,2.0,1500000.0,10.0,56-60,70000.0
1,United States Dollars (USD),41-45,"In a relationship, but not married",1.0,,2400000.0,50.0,51-55,120000.0
1,United States Dollars (USD),41-45,"In a relationship, but not married",,,,,,
1,United States Dollars (USD),31-35,"Single, never married",,,5000000.0,34.0,51-55,397255.0
2,United States Dollars (USD),26-30,Married,,,,,Undecided,350000.0
2,United States Dollars (USD),31-35,Married,1.0,1.0,3000000.0,33.0,46-50,245000.0
2,United States Dollars (USD),31-35,Married,,3.0,2000000.0,49.0,36-40,133500.0
2,United States Dollars (USD),31-35,Married,,2.0,2750000.0,20.0,56-60,361500.0
1,United States Dollars (USD),31-35,"Single, never married",,2.0,,,31-35,0.0
1,United States Dollars (USD),31-35,"Single, never married",,,1500000.0,8.0,51-55,108716.0
1,United States Dollars (USD),36-40,"Single, never married",,,,,,
2,United States Dollars (USD),21-25,"In a relationship, but not married",,2.0,,,,
2,United States Dollars (USD),31-35,Married,,,,,,
1,United States Dollars (USD),31-35,Married,,2.0,,,,
1,United States Dollars (USD),41-45,Married,3.0,0.0,,,,
1,United States Dollars (USD),31-35,Married,,2.0,1600000.0,20.0,41-45,80000.0
2,United States Dollars (USD),21-25,"In a relationship, but not married",,,1000000.0,15.0,46-50,85000.0
1,United States Dollars (USD),41-45,"Single, never married",,,300000.0,34.0,Undecided,
1,United States Dollars (USD),41-45,"Single, never married",,,1850000.0,40.0,56-60,80000.0
2,United States Dollars (USD),41-45,Married,3.0,0.0,,,46-50,250000.0
2,United States Dollars (USD),31-35,"In a relationship, but not married",,2.0,,,,
2,United States Dollars (USD),31-35,Married,,,2000000.0,60.0,41-45,321000.0
1,United States Dollars (USD),36-40,Married,1.0,1.0,,,,
1,United States Dollars (USD),36-40,Married,1.0,1.0,3000000.0,65.0,51-55,425000.0
1,United States Dollars (USD),31-35,Married,,2.0,2000000.0,64.0,36-40,200000.0
2,United States Dollars (USD),31-35,Married,1.0,0.0,,,,
