Contributors,Currency,Age,Relationship,Children,Additional Children,Amount to retire,FI rate,Retire age,Wage
1,United States Dollars (USD),26-30,"Single, never married",,,1250000.0,54.0,36-40,180000.0
1,United States Dollars (USD),21-25,"Single, never married",,,2000000.0,16.0,41-45,
2,United States Dollars (USD),26-30,Married,1.0,2.0,2500000.0,12.0,51-55,7100.0
1,United States Dollars (USD),26-30,"Single, never married",,,1250000.0,18.0,41-45,82000.0
1,United States Dollars (USD),31-35,"Single, never married",,,2000000.0,60.0,41-45,379148.0
1,United States Dollars (USD),26-30,"Single, never married",,,,,,
1,United States Dollars (USD),26-30,"Single, never married",,,,,41-45,
2,United States Dollars (USD),26-30,Married,,2.0,2500000.0,9.0,51-55,
2,United States Dollars (USD),36-40,Married,,,,,,
2,United States Dollars (USD),31-35,Married,,1.0,2000000.0,40.0,36-40,270000.0
2,Canadian Dollars (CAD),31-35,"In a relationship, but not married",,,,,,
1,United States Dollars (USD),41-45,Married,2.0,0.0,3000000.0,67.0,56-60,306000.0
2,United States Dollars (USD),41-45,Married,,,7000000.0,25.0,56-60,300000.0
1,United States Dollars (USD),21-25,"Single, never married",,,1250000.0,33.0,31-35,
2,United States Dollars (USD),31-35,Married,2.0,0.0,4000000.0,50.0,41-45,438866.0
1,United States Dollars (USD),21-25,"Single, never married",,,,,,
2,United States Dollars (USD),31-35,Married,1.0,2.0,2000000.0,50.0,46-50,250000.0
2,United States Dollars (USD),31-35,Married,1.0,1.0,1000000.0,82.0,41-45,180000.0
1,United States Dollars (USD),26-30,"Single, never married",,,1700000.0,12.0,46-50,55000.0
2,United States Dollars (USD),51-55,Married,,,,,,
2,United States Dollars (USD),36-40,Married,,,3000000.0,70.0,71+,250000.0
2,United States Dollars (USD),26-30,Married,,2.0,1800000.0,44.0,36-40,180000.0
2,United States Dollars (USD),36-40,Married,2.0,0.0,,,,
2,United States Dollars (USD),31-35,Married,,2.0,3000000.0,28.0,41-45,355500.0
2,United States Dollars (USD),26-30,"In a relationship, but not married",,2.0,,,,
2,United States Dollars (USD),36-40,Married,,,3000000.0,80.0,36-40,293000.0
1,United States Dollars (USD),21-25,"Single, never married",,,1000000.0,11.4,41-45,52950.0
1,United States Dollars (USD),26-30,"In a relationship, but not married",,3.0,,,,
1,United States Dollars (USD),36-40,"Single, never married",,,1000000.0,72.0,41-45,97000.0
1,United States Dollars (USD),31-35,Married,,1.0,2100000.0,29.0,41-45,215000.0
1,United States Dollars (USD),26-30,"In a relationship, but not married",,3.0,2500000.0,30.0,51-55,
1,United States Dollars (USD),21-25,"In a relationship, but not married",,,1500000.0,13.0,41-45,81000.0
1,United States Dollars (USD),31-35,"Single, never married",,,,,,
1,United States Dollars (USD),26-30,"Single, never married",,2.0,1750000.0,8.5,56-60,79000.0
1,United States Dollars (USD),31-35,"Single, never married",,,1500000.0,57.0,36-40,220000.0
1,United States Dollars (USD),36-40,Married,1.0,0.0,6000000.0,34.0,51-55,693819.0
1,United States Dollars (USD),51-55,Married,2.0,0.0,800000.0,45.0,56-60,7000.0
1,Australian Dollars (AUD),36-40,"Single, never married",,,,,,
1,Australian Dollars (AUD),36-40,"Single, never married",,,1750000.0,72.0,46-50,217000.0
1,Euros (EUR),31-35,"Single, never married",,,,,31-35,50380.00000000001
1,United States Dollars (USD),31-35,"Single, never married",,,,,,
1,United States Dollars (USD),26-30,"Single, never married",,,3000000.0,33.0,36-40,350000.0
2,United States Dollars (USD),36-40,Married,,,2000000.0,20.0,61-65,
2,Canadian Dollars (CAD),26-30,Married,,2.0,,,,
2,United States Dollars (USD),41-45,Married,,2.0,,,,
2,United States Dollars (USD),41-45,Married,3.0,0.0,4500000.0,50.0,46-50,810000.0
2,United States Dollars (USD),41-45,Married,,,3500000.0,60.0,51-55,
1,United States Dollars (USD),21-25,"Single, never married",,3.0,4000000.0,15.0,26-30,250000.0
1,United States Dollars (USD),31-35,"Single, never married",,,2000000.0,18.0,46-50,141000.0
1,United States Dollars (USD),31-35,"Single, never married",,2.0,,,,
1,United States Dollars (USD),26-30,"In a relationship, but not married",,2.0,1500000.0,42.0,Undecided,
1,United States Dollars (USD),31-35,"In a relationship, but not married",,,1800000.0,33.0,41-45,180000.0
1,United States Dollars (USD),31-35,"In a relationship, but not married",,,3000000.0,6.7,41-45,270000.0
